name,email,timestamp
Sheema Shariq,sheema25@jmi.ac.in,2026-08-18 09:12:00
Priya Singh,priya@jmi.ac.in,2026-08-18 09:45:00
Ayaan Khan,ayaan54@jmi.ac.in,2026-08-18 10:03:00
Sneha Kapoor,sneha@jmi.ac.in,2026-08-18 10:22:00
Faiz Ahmed,faiz@jmi.ac.in,2026-08-18 10:41:00
Meera Sartaj,meera@jmi.ac.in,2026-08-18 11:00:00
Kabir Khan,kabir@jmi.ac.in,2026-08-18 11:18:00
Syed Qureshi,quresh@jmi.ac.in,2026-08-18 11:35:00
Ishaan Verma,ishaan@jmi.ac.in,2026-08-18 12:02:00
Ananya Pandey,ananya@jmi.ac.in,2026-08-18 12:19:00
