name,email,timestamp,status
Sheema Shariq,sheema25@jmi.ac.in,2026-08-18 09:12:00,Confirmed
Priya Singh,priya@jmi.ac.in,2026-08-18 09:45:00,Confirmed
Ayaan Khan,ayaan54@jmi.ac.in,2026-08-18 10:03:00,Confirmed
Sneha Kapoor,sneha@jmi.ac.in,2026-08-18 10:22:00,Confirmed
Faiz Ahmed,faiz@jmi.ac.in,2026-08-18 10:41:00,Confirmed
Meera Sartaj,meera@jmi.ac.in,2026-08-18 11:00:00,Confirmed
Kabir Khan,kabir@jmi.ac.in,2026-08-18 11:18:00,Confirmed
Syed Qureshi,quresh@jmi.ac.in,2026-08-18 11:35:00,Confirmed
Ishaan Verma,ishaan@jmi.ac.in,2026-08-18 12:02:00,Confirmed
Ananya Pandey,ananya@jmi.ac.in,2026-08-18 12:19:00,Confirmed
